"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.300350000E-2,-9.030878395E-2,-1.051790135E0,-8.846720338E-2
2.300250000E-2,4.420848790E-1,-1.180252878E0,-6.879085493E-1
3.300150000E-2,7.218183070E-1,-1.279842655E0,-1.262187572E0
4.300050000E-2,3.364631143E-1,-1.195576091E0,-1.631571388E0
5.299950000E-2,4.077874509E-1,-7.010308707E-1,-1.996996638E0
6.299850000E-2,8.788970312E-1,-2.416320938E-1,-2.128346736E0
7.299750000E-2,9.659407300E-1,-2.732357097E-1,-2.007059112E0
8.299650000E-2,1.201541128E0,-2.401170802E-1,-2.005348216E0
9.299550000E-2,1.226766894E0,-2.427810717E-1,-2.442305380E0
1.029945000E-1,1.064602554E0,-2.545585334E-1,-2.900621252E0
1.129935000E-1,6.827761558E-1,7.463444531E-2,-2.913319066E0
1.229925000E-1,6.086723453E-1,5.290706903E-1,-2.441826493E0
1.329915000E-1,6.821478724E-1,7.772592670E-1,-1.844438689E0
1.429905000E-1,5.487620661E-1,9.086339235E-1,-1.336113335E0
1.529895000E-1,3.315757191E-1,1.109166816E0,-9.348481607E-1
1.629885000E-1,2.084564540E-1,1.304956154E0,-5.456627494E-1
1.729875000E-1,1.576239771E-1,1.505677911E0,-1.821565551E-1
1.829865000E-1,7.608221591E-2,1.725660397E0,2.471846098E-1
1.929855000E-1,-1.394788975E-1,1.780522190E0,8.177752090E-1
2.029845000E-1,-2.943605304E-2,1.919070210E0,1.295686271E0
2.129835000E-1,1.243223298E-1,1.935445338E0,1.451877095E0
2.229825000E-1,3.783449659E-1,1.896096208E0,1.291628888E0
2.329815000E-1,6.089676297E-1,1.817042145E0,1.098618731E0
2.429805000E-1,7.239121950E-1,1.716886942E0,7.669260675E-1
2.529795000E-1,6.773100324E-1,1.691541308E0,2.166703302E-1
2.629785000E-1,3.127744357E-1,1.835272301E0,-1.808555496E-1
2.729775000E-1,-1.629578072E-1,2.037246532E0,-3.047083479E-1
2.829765000E-1,-3.992762437E-1,2.138010137E0,-3.075150114E-1
2.929755000E-1,-6.163307360E-1,2.175010441E0,-5.342659414E-2
3.029745000E-1,-6.957625294E-1,2.345475781E0,2.230654299E-1
3.129742500E-1,-6.342873891E-1,2.312681087E0,4.885658580E-1
3.229732500E-1,-4.584661460E-1,2.181119027E0,4.125292504E-1
3.329722500E-1,-2.118351214E-1,2.067686844E0,8.162596107E-2
3.429712500E-1,2.840485270E-1,1.740290422E0,-1.731571054E-1
3.529702500E-1,7.602413844E-1,1.703944130E0,-2.530710018E-1
3.629692500E-1,8.519765966E-1,1.753200782E0,8.120905459E-2
3.729682500E-1,4.297875997E-1,1.820392014E0,9.345493680E-1
3.829672500E-1,-9.685284153E-2,2.121868021E0,2.004952360E0
3.929662500E-1,-4.048135570E-1,2.597158946E0,2.820333719E0
