"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.602399349E-2,6.499469011E1,2.546254047E1,4.601772308E0,NaN,NaN,3.500000000E1,1.845469475E1
1.602399349E-2,6.499469035E1,2.546254003E1,4.350850105E0,NaN,NaN,3.500000000E1,1.571869373E1
6.035413742E-1,6.499498174E1,2.546258636E1,-8.139465332E0,8.999999762E-1,9.386718750E1,1.225613442E1,2.400000000E1
1.865537286E0,6.499502570E1,2.546263212E1,-2.044906616E1,8.999999762E-1,1.163671875E2,6.571288377E0,1.600000000E1
2.865531564E0,6.499503836E1,2.546265467E1,-1.808984375E1,8.500000238E-1,1.641796875E2,5.327717926E0,1.200000000E1
3.865525723E0,6.499504054E1,2.546267906E1,-1.835806274E1,8.500000238E-1,1.427343750E2,5.238183939E0,1.200000000E1
4.865520716E0,6.499503349E1,2.546270806E1,-1.690087891E1,1.769999981E0,1.508203125E2,5.486245607E0,1.200000000E1
5.865514755E0,6.499502947E1,2.546273748E1,-1.707858276E1,1.769999981E0,1.293750000E2,5.803868703E0,1.200000000E1
6.865696907E0,6.499503232E1,2.546276707E1,-1.768478394E1,1.210000038E0,1.195312500E2,5.430135384E0,1.200000000E1
7.865704536E0,6.499503488E1,2.546280236E1,-1.740554810E1,1.210000038E0,9.632812500E1,5.193595881E0,1.200000000E1
8.865705609E0,6.499503467E1,2.546284150E1,-1.956497192E1,1.279999971E0,1.121484375E2,5.663510176E0,1.200000000E1
9.865708113E0,6.499502976E1,2.546288149E1,-1.625173950E1,1.279999971E0,1.082812500E2,4.948587574E0,1.200000000E1
1.086571658E1,6.499502633E1,2.546292390E1,-1.527291870E1,1.279999971E0,1.023046875E2,5.682457545E0,1.200000000E1
1.186571598E1,6.499502285E1,2.546296363E1,-1.481796265E1,1.019999981E0,9.984375000E1,5.420484440E0,1.200000000E1
1.286571944E1,6.499502130E1,2.546300260E1,-1.226293945E1,1.370000005E0,9.351562500E1,4.883040739E0,1.200000000E1
1.386572230E1,6.499502055E1,2.546303158E1,-1.198277071E1,1.370000005E0,9.351565126E1,4.883040739E0,1.200000000E1
1.486572301E1,6.499501788E1,2.546307096E1,-1.040071466E1,1.370000005E0,9.738283860E1,4.394390012E0,8.000000000E0
1.586573672E1,6.499501975E1,2.546309964E1,-6.697202512E0,1.149999976E0,9.140627208E1,4.267834709E0,8.001375093E0
1.686574030E1,6.499501828E1,2.546313250E1,-4.593980620E0,1.149999976E0,1.026562716E2,4.187219875E0,6.008310604E0
1.786574078E1,6.499501955E1,2.546315464E1,-3.217981211E0,8.700000048E-1,1.023047038E2,4.123094598E0,6.019490634E0
1.886574745E1,6.499501506E1,2.546317088E1,-2.106468070E0,8.700000048E-1,1.177734523E2,4.123094449E0,6.019490653E0
1.986575186E1,6.499501217E1,2.546318902E1,-1.292919030E0,8.700000048E-1,1.191797021E2,4.351477228E0,6.004809569E0
2.086575198E1,6.499501598E1,2.546317292E1,-1.292920996E0,0.000000000E0,1.191796875E2,4.486344699E0,4.084157463E0
2.186575377E1,6.499501227E1,2.546325014E1,-9.128072858E-1,1.190000057E0,9.597658523E1,4.486344639E0,4.084157519E0
2.286575389E1,6.499501477E1,2.546328725E1,-9.463517796E-1,1.419999957E0,9.070315227E1,4.660055443E0,3.479715549E0
2.386575496E1,6.499501646E1,2.546331423E1,-6.159589868E-1,1.190000057E0,8.964846036E1,4.660055447E0,3.479715543E0
2.486575449E1,6.499501707E1,2.546335448E1,-8.041074397E-1,1.419999957E0,9.035158977E1,4.660055445E0,3.479715547E0
2.586575401E1,6.499501709E1,2.546338223E1,-6.702345107E-1,1.139999986E0,9.175783439E1,4.660055440E0,3.479715552E0
2.686575449E1,6.499501797E1,2.546341292E1,-8.468588088E-1,1.139999986E0,9.035158440E1,4.660055440E0,3.479715553E0
2.786575246E1,6.499501916E1,2.546344543E1,-9.538934920E-1,1.139999986E0,8.859377189E1,4.660055440E0,3.479715553E0
2.886575186E1,6.499502044E1,2.546347862E1,-1.302198239E0,1.149999976E0,8.613283454E1,4.660055441E0,3.479715552E0
2.986575067E1,6.499502250E1,2.546351641E1,-1.493522448E0,1.289999962E0,8.507814969E1,4.660055445E0,3.479715546E0
3.086574888E1,6.499502397E1,2.546354711E1,-1.819379633E0,1.149999976E0,8.402345947E1,4.660055448E0,3.479715542E0
3.186574709E1,6.499502749E1,2.546358605E1,-2.008870844E0,1.460000038E0,8.121096521E1,4.660055459E0,3.479715527E0
3.286574566E1,6.499503185E1,2.546362028E1,-1.903259049E0,1.440000057E0,7.804690206E1,4.660055476E0,3.479715505E0
3.386574268E1,6.499504764E1,2.546367863E1,-1.394683203E0,1.328073225E0,7.186860417E1,4.733376928E0,3.379301686E0
3.486574113E1,6.499505409E1,2.546370590E1,-1.995713997E0,1.193775613E0,6.302022540E1,4.731832500E0,3.381463917E0
3.586573839E1,6.499506021E1,2.546373661E1,-2.438397229E0,1.352141684E0,6.334821659E1,4.733663316E0,3.378900509E0
3.686573529E1,6.499506643E1,2.546377599E1,-2.415885937E0,1.402941169E0,5.740735356E1,4.735603256E0,3.376181103E0
3.786573303E1,6.499507915E1,2.546380630E1,-2.455097281E0,1.554058467E0,4.994339552E1,4.736217044E0,3.375320006E0
3.886572933E1,6.499509105E1,2.546383558E1,-1.793994699E0,1.586236643E0,4.771132616E1,4.735772431E0,3.375943796E0
3.986572611E1,6.499510237E1,2.546385360E1,-1.674803803E0,1.462724559E0,4.142631544E1,4.735863900E0,3.375815480E0
4.086572289E1,6.499511312E1,2.546386462E1,-1.484323010E0,1.236679692E0,2.773930148E1,4.734816959E0,3.377283731E0
4.186571956E1,6.499512226E1,2.546388496E1,-1.841272631E0,1.130660061E0,3.284958191E1,4.734562899E0,3.377639884E0
4.286571705E1,6.499513595E1,2.546390576E1,-1.784901064E0,1.320511868E0,3.714953495E1,4.734525384E0,3.377692470E0
4.386571348E1,6.499514809E1,2.546393426E1,-2.109234979E0,1.537990374E0,4.494022652E1,4.735770112E0,3.375947049E0
4.486570895E1,6.499515516E1,2.546394682E1,-1.720306229E0,1.426140452E0,3.833452348E1,4.719493883E0,3.398663637E0
4.586570501E1,6.499516324E1,2.546396752E1,-1.633962165E0,1.121097223E0,3.955323417E1,4.717096363E0,3.401990437E0
4.686570132E1,6.499517687E1,2.546399649E1,-1.784263871E0,1.505994110E0,3.860647300E1,4.720012800E0,3.397942936E0
4.786569762E1,6.499518678E1,2.546401533E1,-1.244837388E0,1.133223532E0,3.580184417E1,4.718647879E0,3.399838118E0
4.886569369E1,6.499520098E1,2.546403397E1,-9.822396133E-1,1.413003196E0,3.174239029E1,4.721119577E0,3.396405008E0
4.986569023E1,6.499521048E1,2.546405478E1,-8.609888656E-1,1.140640275E0,3.600836317E1,4.713329805E0,3.407206948E0
5.086568558E1,6.499521944E1,2.546407605E1,-1.253543634E0,1.203213814E0,3.773760098E1,4.714833319E0,3.405126108E0
5.186568213E1,6.499523400E1,2.546410052E1,-8.715190385E-1,1.542757214E0,3.669809217E1,4.718415930E0,3.400160018E0
5.286567748E1,6.499524411E1,2.546410528E1,-2.599681439E-1,1.141965712E0,2.740252323E1,4.712201721E0,3.408766928E0
5.386567223E1,6.499525452E1,2.546412707E1,7.536000758E-2,1.273217309E0,3.171334603E1,4.716989524E0,3.402138572E0
5.486566865E1,6.499526633E1,2.546414394E1,4.299150407E-2,1.314024810E0,2.938533547E1,4.721503192E0,3.395871705E0
5.586566377E1,6.499527777E1,2.546416488E1,-5.030878447E-1,1.369071460E0,3.109838056E1,4.721952170E0,3.395247375E0
5.686565983E1,6.499528844E1,2.546418839E1,-3.392088553E-1,1.371131603E0,3.441289883E1,4.723653767E0,3.392879620E0
5.786565518E1,6.499530255E1,2.546420788E1,-1.962686768E-1,1.476236985E0,3.245204196E1,4.725085212E0,3.390885839E0
5.886565053E1,6.499531299E1,2.546421261E1,-4.047706947E-1,1.319548556E0,2.430682024E1,4.723442993E0,3.393173047E0
5.986564708E1,6.499532872E1,2.546422060E1,-4.027320463E-1,1.548579365E0,1.865457599E1,4.729949411E0,3.384097457E0
6.086564255E1,6.499533870E1,2.546421604E1,-5.726946127E-1,1.135198968E0,5.412347358E0,4.721524791E0,3.395841675E0
